spanish,wayuunaiki
"tom me aburre","akulajawaa aa'in chi tomkai"
"tom puede cocinar","eesü süpüla nü'lakajain tom"
"tom puede ayudar","eesü süpüla nükaaliijain tom"
"tom puede nadar","eesü süpüla nüshuunajain tom"
"tom se enrolo","ekerotüshi tom sunainmüin"
"tom termino","aja'lajashi tom"
"tom se encogio","joo'uchonjashi tom"
"tom tiene agallas","toolo naa'in chi tomkai"
"tom me odia","nünülasuu taya tom"
"tom insistio","ka'lainrai ma'in tom"
"tom es veterinario","weterinari chi tomkai"
"tom es valiente","toolo aa'in tom"
"tom es asqueroso","malerasai chii tom"
"tom es fiel","anamiata chi tomkai"
"tom anda bichi","maichekuu müshii tom"
"tom anda encuerado","amaichejashi tom"
"tomas es tranquilo","anamia ma'in tomas"
"tom es bajo","motsooshi tom"
"tomas tiene chispa","tütüshi ma'in tomas"
"tom esta equivocado","maawashi ne'e tom"
"tom me quiere","eisü taya nüpüla tom"
"tom escucho","naapüin tom"
"tom me ama","aisü taya nüpüla tom"
"tomas me necesita","cho'ujaasü taya nümüin tomas"
"tom nos necesita","cho'ujaashi waya nümüin tom"
"tom prometio","nia tom mapükai"
"tom lo prometio","mapükai tom"
"tom huyo","isashi tom"
"tom se aplaco","eimalashi tom"
"tom se apiado","nümüliajain tom"
"tomas renuncio","nuulain tomas"
"tomas le disparo","na'itüin tomas"
"tom le disparo","na'itüin tom"
"tom tartamudea","achecherawaisü nünüiki tom"
"tom balbucea","shiküleerasü nünüiki tom"
"tomas desaparecio","amülouishi tomas"
"tom estaba calvo","moikiipüshi tom"
"tom estaba perdido","amülouipünashi tom"
"tom fue ruin","mojulapüshi tom"
"tom estaba palido","nnojotsü ma'in naa'in tom"
"tom esta grogui","maawasü nikii tom"
"tom despierta","tom püchijiraa"
"confia en dios","ataralawa nümaa ma'leiwa"
"prueba la tarta","pu'ulaka tü tattara münaka"
"pruebate estos","pu'ulaka tüü pünain"
"voten por tom","janeekajaa taya"
"espera por tom","pa'atapajünchi tom"
"espera fuera","pa'atapaja anooipa'a"
"camina conmigo","waraitta pia tama"
"quieres una bebida","aseeshi pia wanee asüshi"
"lava el auto","po'lojoo tü e'ejenaka"
"pedimos disculpas","wachuntüin analüü saa'u"
"aplaudimos","wawaatüin wajapü"
"podemos hacerlo","eesü süpüla waainjüin"
"no podemos demandar","nnojotsü süpüla waküjain"
"no podemos ganar","nnojotsü süpüla wakanajüin"
"encontramos uno","wantaa anain waneeshi"
"nos preparamos","joo'u yapai waya"
"estabamos listos","yapashiaje waya"
"almorzamos","wamütsajai"
"tenemos algo","eesü kasa wamana"
"tenemos unos cuantos","na kojuyasü wamana"
"tenemos vino","eesü winaa wamana"
"sabiamos eso","eesiaje watüjaain saa'u"
"lo conociamos","we'raajapüin"
"sabiamos esto","watüjapüin saa'u tüü"
"sabemos eso","watüjaipa tia"
"conocemos esto","we'raajüin tüü"
"vivimos aqui","kepiashi waya ya'aya"
"los amamos","aishi jia wapüla"
"nos encanta esto","wachekashatain tüü"
"esto nos encanta","wacheekashatain tüü"
"queriamos a tom","wachekakaya tom"
"nos vimos hoy","e'rajiraashi waya so'uka'i"
"nos encontramos hoy","antirashi waya so'uka'i"
"necesitamos ayuda","cho'ujaasü akaaliijanüin waya"
"necesitamos mas","cho'ujaa soo'omüin wamüin"
"lo necesitamos","cho'ujaasü wamüin"
"dormimos demasiado","atunkashatashi ne'e waya"
"nos sentamos alli","waikkalai ya'aya"
"nos sentabamos alli","aikkalapüshi waya ya'aya"
"nos sentamos ahi","waikkalai saaya"
"lo conseguimos","wantaa anain"
"lo logramos","wasawatüin achirüa"
"estabamos heridos","e'ikaashi waya"
"estabamos lastimados","e'ikashatashi waya"
"saldremos","ojuittunjani waya"
"somos adultos","ataralashi waya"
"estamos mejor","anashiaje waya"
"somos mejores","waya anashiika yaaje"
"estamos cerrados","süttüshi waya"
"estamos llorando","a'yalajüshi waya"
"estamos saliendo","ojuittüshi waya"
"estamos desahuciados","oo'ulanüsü wakuwa'ipa"
"nosotros estamos escondidos","ounjulaashi waya"
"estamos adentro","ani waya paülü'ü"
"estamos bromeando","alawaa ne'e watüma"
"estamos perdiendo","amülouikai waa'in"
"nos estamos mudando","anii waya okolojoin"
"nos mudamos","okolojoshi waya"
"nos cambiamos","a'wanajashi waya"
"estamos hechos polvo","mapüsashatashi waya"
"tenemos sue o","atunkesu waa'in"
"lo estamos intentando","ani woo'ulaküin"
"lo hemos consegido","ani wantaa anain"
"lo tenemos","ani wamana"
"lo hemos conseguido","wantüipa anain"
"bienvenido a casa","antüshi pia miichipa"
"bienvenida a casa","antüsü pia miichipa"
"que festin","jemetalee tia"
"que noche","anaale ma'in aipa'a"
"que farsante","alaashi ma'in"
"que susto","ainkuusu taa'in"
"que desperdicio","alüwatshii"
"que mujer","aitua jierü"
"que idea","kekiikatchen"
"que te pico","kasa süchotaka pia"
"que anda mal","kasa mojuuko"
"quienes son ellos","jaralii nayainü"
"quien lo construyo","jarai akumajaka türa"
"quien cancelo","jarai nnojo maakai"
"quien escucho","jarai aapajakai"
"quien te pago","jarai awalajakai"
"quien te paga","jarai awalajakai pia"
"quien renuncio","jarai o'unakai yaaje"
"quien te envio","jarai aluwatakai pia"
"quien desaparecio","jarai amülouikai"
"quien lo quiere","jarai cho'ujaakai amüin"
"quien empieza","jarai o'ttainjachikai"
"quien parte","jarai o'unuinjachikai"
"quien tiene hambre","jarai ouktakai jamü"
"acaso vivira","kateechi o'u eera"
"tu me diviertes","talatshi taya pütuma"
"eres un vago","shikulata ne'e pia"
"eres rica","washirü piaka"
"eres un maleducado","kayarüi ma'in pia"
"podes descansar","eesü peemerai"
"puedes quedarte","eesü süpüla makatüin pia"
"tu primera","piakat palajana"
"vaya usted primero","pu'unaa piakai palajana"
"lo heriste","e'ikashi pütuma"
"usted la conoce","piakai pi'iraajüin shiaka"
"vos sabes como","pütüjaa aa'u jamüinjatü"
"te ves gordo","kaüsüükai paa'in"
"pueden mirar","eesü ji'rakain"
"puedes nadar","eesü püshuunajai"
"tenes que comer","eküinchi pia"
"tenes que intentar","pu'ulaküintü"
"prometiste","mapüüshi piakai"
"tu prometiste","mapüüshi pia"
"vos prometiste","ta'maakai paala"
"prometio","mapüüshi paala"
"prometieron","müshiirua"
"ustedes prometieron","müshiirua jia jaashin"
"lo prometieron","müshii jia paala"
"me asustas","ainkuushi taya putuma"
"me das miedo","ainkuukai taa'in putuma"
"tu sobreviviste","ayatshi kataa o'uchi pia"
"sobrevivio","kataa o'uyulia"
"sobrevivisteis","naayulia kataain o'u"
"sobrevivieron","naayulia kataain o'uchi naya"
"ustedes sobrevivieron","ayatshi kataain o'uchi jaya"
"sos un cerdo","püülüt paa'in"
"es cruel","mojulashi niakai"
"eres cruel","mojulashi piakai"
"estas borracha","epetü piakat"
"esta despedido","ojutunishi pia"
"esta despedida","ojutunusü pia"
"estais despedidos","ojutunuipa pia"
"estas despedida","ojutunusü jia"
"estan despedidos","ojutunushi jia"
"te toca primero","palajana piakai"
"tu vas primero","pu'unaa palajana"
"eres estupendo","anashi ma'in pia"
"estas gordo","kaüsüüshi ma'in pia"
"tu estas obeso","kaüsüüshatashi ma'in pia"
"estas mintiendo","aküjüshi pia alawaa"
"ustedes estan mintiendo","aküjüshi jia alawaa"
"tienes razon","shiimain pümaka"
"sois peque as","joo'uchon piakat"
"sos lista","yalayalasü pia"
"eres lista","yalayalasü piakat"
"estas cansado","mapüsashi pia"
"estas cansada","mapüsasü pia"
"eres duro","checheshi pia"
"eres ocurrente","kemeerai ma'in pia"
"yo aprobe","oo'ulaküichipa taya"
"estoy aprobado","alatshi taya"
"yo estoy incluido","ekerotonüshi taya"
"son polis","pulisiia naya"
"estan ellos aqui","ani nayainü ya'aya"
"estan ellas aqui","ani shiakaliru ya'aya"
"son altos","yaleetüshi naya"
"son altas","yaleetüsuiru nayakani"
"eres poli","pulisiia piakai"
"estas sola","pümüiwasü"
"estas enojada","jashichisü pia"
"estas aburrido","akulajasu paa'in"
"te aburres","akulajajerü paa'in"
"estas embriagado","eperüichipa pia"
"es usted feliz","eeshi talatüin pia"
"estan listos","keraashi jaya"
"esta usted molesto","jashichiyaakai paa'in"
"se respetuoso","kojutüinjatü müin"
"sed respetuosos","kojutüinjatü jamüin"
"apoyanos","pümüliajaa taya"
"descomponlo","pümojuja"
"desglosalo","pükatalapan"
"trae la llave","püsaajaa yaaweka"
"quemen el cuerpo","ja'ayaapan tü e'irukuka"
"quemad el cuerpo","pa'ajaapan tü shi'irukuka"
"cain era malvado","kain mojulashi ma'in"
"pidan ayuda","jachuntaa kaaliiwa"
"llamen a seguridad","jounejaa na aa'inmajuliika"
"puedo tenerlo","eesü süpüla eein tama'ana"
"puedo abrazarte","eesü süpüla tako'ojooi pünain"
"puedo participar","eesü süpüla sünainpünain taya"
"puedo quedarmelo","eesü süpüla tama'anain shia"
"puedo visitar","eesü süpüla to'unajai jaa'u"
"puedo tomarlo","eesü süpüla taapain"
"puede esperar esto","eesü süpüla ja'atapajüin tia"
"esto puede esperar","tüü ma'aka eesü süpüla sa'atapajüin"
"sabes bailar","atüjashi pia oyonnajaa"
"puedes bailar","eesü süpüla püyonnajai"
"tu puedes conducir","eesü süpüla pülü'üjain e'ejenaka"
"puedes dormir","eesü süpüla putunkai"
"cierra la caja","püsürülaa tü kajaka"
"ven aqui fuera","jalaichi yaamüin anooipa'a"
"ven adentro","jalaichi paülü'ümüin"
"vengan ambos","jalainna piamaleyan"
"baila conmigo","püyonnajaa tamaa"
"lo hicieron ustedes","jaainjaala tia"
"hablaste","aashajashi pia"
"me veo gorda","kaüsüshi taya piirüin"
"me veo viejo","laülaaichipa piirüin taya"
"necesito uno","cho'ujaasü wanee tamüin"
"espero que vuelvas","ta'atapajeechi pia püle'ejapan"
"seras bienvenido","püntaai püchukua'a"
"los peces duermen","eesü atunkuin na jimakalirua"
"hazlo rapidamente","kawachira ma'in pia"
"hagalo rapido","kakuaa sünain tü paa'inraaka"
"hazlo conmigo","paa'inraa tamaa"
"me sigues","poushikain achiirua taya"
"lo ves","piirüin"
"me ves","piirüin taya"
"no seas malo","nnojo mojulain pia"
"no seas mala","nnojo mojulain piakat"
"no seais malos","nnojo mojulain jia"
"no seais malas","nnojo mojulain jaya"
"no llegues tarde","nnojo püntüin mapan"
"no seas grosero","nnojo kashüülain ma'in pia"
"no me llamen","nnojo jounekain taya"
"no lo niegues","nnojo je'iyeein pia"
"no te desesperes","nnojo püshapatüin paa'in"
"no hagas eso","nnojo paa'inrain tia"
"no te rindas","nnojo pu'ulain"
"no me mates","nnojo po'utüin taa'in"
"coman y beban","jeka otta jasaa maala"
"coma y beba","pika otta püsaa maala"
"coman sano","jika anasü"
"come algo","pika wanee kasa"
"comete tu comida","pika tü piküinka"
"todos ganan","akanajüshi napushua'a"
"rellena esto","pükalu'ujaa tüü"
"frieme un huevo","püjuriichaja wanee kaliina ashukut"
"vuelve aqui","püle'ejaa yaamüin"
"vuelva aqui","püle'eja yaamüin"
"consigueme una cerveza","püchajaa tamüin wanee saruweesa"
"denmelo","jaapa tamüin"
"dame algunos","paapa tamüin waneeirua"
"dame una pistola","paapa tamüin wanee riwoolü"
"dame un abrazo","püko'ojoo tanain"
"dame un trabajo","paapa a'yatawaa tamüin"
"deme esos","paapa türaa tamüin"
"ve abajo","pu'unaa mmolu'umüin"
"aguanta","pa'atapajaa"
"espera ahi","pa'atapajaa yaalaya"
"espere alli","pa'atapajaa yaala"
"guarda eso","pünaaja türaa"
"hazlo venir","püntirapan"
"no puede cantar","nnojotsü süpüla pii'irajüin"
"el bebio cerveza","asüshi niakai saruweesa"
"el come mucho","kasaa ale'echi niakai"
"se sentia cansado","mapüsaashi soo'u ka'ika tia"
"le cogieron","aapaanüshi"
"el cultiva arroz","apünajüshi niakai roo"
"el esta constipado","ayuuisu tü nüle'eka"
"el la abrazo","ako'ojooshi niakai sünainmüin"
"es ingles","inküleenaiki türa"
"es un ladron","ka'ruwarai niakai"
"esta leyendo","aashaje'etshi"
"el esta leyendo","aashaje'etshi niakai"
"el la beso","nüchu'laain niakai"
"la beso","nüchu'laain"
"el me mintio","aküjashi alawaa tamüin"
"luce palido","nnojotsü ma'in naa'in"
"me pellizco","nasü'ütüin taya"
"el parece amable","anamia ma'in niakai"
"el parece enfermo","ayuuikai na'in"
"el vende carros","aikkaashi niakai e'ejena"
"el me disparo","na'itüin taya niakai"
"se expresa bien","pansaasü pütchika naashajapa"
"quiere mas","ko'omüinjeshi"
"el estaba llorando","a'yalajapünashi niakai"
"el fue apedreado","a'itünüshi süka ipa"
"se quedo ciego","moo'uuichipa joolu'u"
"no lo sabra","nnojoleerü nütüjaa aa'u"
"es abogado","pütchipu'ui niakai"
"el es abogado","niakai pütchipu'ui"
"el es machista","tooloshatashi naashin"
"el es adorable","anamiashatashi niakai"
"no esta enfermo","nnojoishi ayuulin niakai"
"sirvase usted mismo","paapa ne'e yaaleje"
"sirvete tu mismo","paapa ne'e paapaainjatüka"
"servios vosotros mismos","jaapaa ne'e"
"sirvanse ustedes mismos","jaapaa ne'e jaapaainjatüka"
"aqui viene","iseechi niakai"
"su nariz sangraba","kashashi ni'ichipüna"
"abrazame fuertemente","püko'ojoo tanain emetulu"
"retenga mis llamadas","püchechererü teenakapa pia"
"espera alli","pa'atapaja yaalaya"
"sujetalo","püchecherapan"
"sosten la puerta","pajapulu'u tü piicho'ukat"
"sujeta la cuerda","pajapulu'u tü süpükat"
"aguanta la cuerda","ichee putuma tü süpükat"
"toca la bocina","pü'yalajirapa tü wosinakat"
"toca el claxon","püpettaa tü süwosinainkat"
"que tal tu","jamayaa paa'in so'ukai"
"como estan ustedes","jamayaa jaa'in"
"cuantos murieron","je'raa ouktüsüirua"
"yo acepto eso","taapainjatü tia"
"yo lo adquiri","taapain"
"a adi agua","to'yotüin wüin"
"siempre camino","waraittushi taya waneepia"
"soy americano","merikaana taya"
"soy japones","japone taya"
"soy japonesa","japone tayakat"
"estoy tosiendo","oonojüshi taya"
"soy como el","taya müshi naa'in niakai"
"me indigna","mojusü tamüin"
"estoy estornudando","ashoujashi taya"
"es culpa mia","taainjala"
"creo en tom","oonoshi taya nümaa tom"
"te creo","oonoshi taya püma"
"les creo","oonoshi taya jama"
"yo los soborne","a'walajüshi taya ajuuna"
"yo los queme","ta'ajüin tayakai"
"los llame","tounekajüin naya"
"yo puedo explicar","eesü süpüla tekirajain jia sünain"
"puedo sentirlo","kayamülajasü taya"
"yo puedo hacerlo","eesü süpüla taainrain"
"no puedo dormir","nnojotsü süpüla tatunkünjatü"
"no puedo fumar","nnojotsü süpüla takaijain"
"no puedo soportar","nnojorüleesü kamalain tamüin"
"no puedo resistir","nnojoleerü kamaain tatsüin"
"yo lo cancele","tasha'waleerüin tia"
"yo cause esto","taainjala tü ma'aka supüshua'a"
"yo contribui","eeshi taya sünain tia"
"yo llore bastante","a'yalajashatashi ma'in taya"
"me lo merecia","takanain tia"
"yo no llame","nnojoishi taya ounekaain"
"no me importo","mojutusü tamüin"
"yo no supe","nnojotsü taapüin achikü"
"yo no vi","nnojotsü te'erüin"
"yo no movi","nnojotsü takutuleerain"
"yo no cante","nnojoishi taya ee'irajüin"
"yo no pare","nnojoishi taya asha'walain"
"yo no vote","nnojoishi taya awotajüin"
"si yo recuerdo","aa sotüsü taa'in"
"claro que recuerdo","aja sotüsü taa'in"
"eso pienso yo","shia tekiiruka paashin"
"yo no ronco","nnojoishi taya kookoloin"
"yo no robo","nnojoishi taya a'luwajüin"
"no estudio","mekirajainsai taya"
"bebi un monton","asaayashatashi taya"
"bebo un monton","asüishata ma'in taya"
"llevo un bmw","alü'üjüshi taya wanee bmw"
"conduzco mal","nnojotsü anain tamanejai"
"yo exagere","alataaleshi taya"
"me dormi","atunküshi taya"
"yo finalmente gane","akanajüshi taya mapan"
"yo lo termine","aja'lajasü tatuma'a"
"yo encontre estos","tantaa anain tüiru"
"resulte enga ado","emeejünüshi taya ne'e"
"me dio sed","miyaasüüshi taya"
"tuve una idea","jülüjüipa taa'in"
"yo odio boston","kanainsü taa'in boston"
"odio el frances","kanainsü taa'in tü püranseenaiki"
"odio volar","kanainsü taa'in awataa"
"odio mi trabajo","uttüsü taa'in sünain tü ta'yatainka"
"odio el invierno","uttüsü taa'in juyapü"
"estoy resfriado","oushuushi taya"
"tengo una cita","antiraainjachi taya"
"tengo una vida","eeiyülia kataa o'u taa'u"
"tengo una visa","kawisainshi taya"
"tengo un visado","kawisaichipa taya"
"tengo rodilleras","kasapainpalashi taya"
"yo tengo cancer","kansetshi taya"
"yo he fallado","isaasü tachiki"
"yo tengo ordenes","aluwatanuichipa taya"
"yo tengo derechos","eesü kasa wanaakat süpüla tamüinyüü"
"he pecado","kaaijalashi taya"
"tengo que intentarlo","too'ulakainjatü"
"tengo que ganar","akanajüinjachi taya"
"yo escucho sirenas","taapüin shi'ira sirena"
"escucho voces","aapajüshi taya anüikiirua"
"ignore a tom","nnojoishi kasajachin tamüin tom"
"recien me levanto","atamashi taya maalüjatü"
"yo solo sonrei","asirajüshi ne'e taya"
"no es broma","nnojotsü me'erainpalajatü"
"yo se frances","atüjashi taya püranseenaiki"
"yo se cosas","tatüjaa aa'u kasa"
"te menti","alawaa tama'aka müin"
"les menti","alawaa taküjaaka jamüin"
"me gusta coser","tacheküin tü a'yapüjaaka"
"me gusta esquiar","kamalainsü tamüin waraittaa soo'opüna yeelo"
"me gusta comer","tacheküin tü ekaawaka"
"perdi mi clave","amülouisü tü ayaawatiaka"
"yo amo boston","aisü tapüla boston"
"me gusta hornear","kamalainsü tamüin asijaa sulu'u horno"
"yo me quiero","aijiraashi taya tapüla"
"amo la naturaleza","aisü tapüla tü eekat saa'u tü mmakat"
"adoro el deporte","ta'waajüin tü shaitaakat"
"hice la cena","taainjüipa tü eküülüka"
"prepare cena","taa'inrüipa tü eküülüka"
"yo debo arreglarlo","tanouktainjatü tayakai"
"yo debo objetar","asokotüinjachi taya"
"yo debo rechazar","tojütainjatü süchikü"
"yo debo resistir","eejiraainjachi taya"
"yo debo verlo","te'rüinjatü"
"necesito una tripulacion","cho'ujaashii tamüin wanee wayuuirua tamaainjana"
"necesito un prestamo","cho'ujaasü a'anapajünüin tamüin"
"necesito un plan","cho'ujaasü tamüin wanee kasa taa'inrajatkat"
"necesito una semana","cho'ujaasü tamüin wanee semaana"
"yo necesito consejos","cho'ujaasü püchiain taya"
"necesito cafe","cho'ujaasü kepein tamüin"
"necesito mi bolsa","cho'ujaasü tamüin wanee wotso"
"yo necesito pagar","cho'ujaa tawalaajüin"
"yo necesito intentar","cho'ujaasü too'ulakai"
"yo necesite ayuda","cho'ujaa akaaliijanüin taya"
"necesitaba descansar","eemerajepüshi taya"
"nunca hago trampas","nnojoishi taya aainjüin türampa"
"nunca sue o","nnojorüleeshi taya a'lapüjain"
"no bebo nunca","nnojoireeshi taya asaain"
"poseo un caballo","eesü tama'ana wanee ama"
"yo juego squash","ashaittajüshi taya skuash"
"me declare culpable","taainjala müshi taya"
"yo corri afuera","awatashi taya anoouipa'amüin"
"la rescate","to'tte'erüin shiaka"
"lo rescate","to'tte'erüin niakai"
"yo te rescate","to'tte'rrüin piakai"
"respeto a tom","kojutshi tapüla tom"
"yo dije levantate","pütama ne'e müshi taya"
"yo dije gracias","analu'ut saa'u müshi taya"
"vi al perro","te'rüin wanee erü"
"veo una corona","te'rüin wanee korona"
"veo una luz","te'rüin wanee awarala"
"veo una reina","te'rüin wanee reina"
"veo mi barco","te'rüin tü taanuainka"
"me dispare","a'iniraashi taya"
"yo deberia renunciar","acheküshi to'ulaain"
"yo huelo tocino","keejushi taya püülükemasü"
"yo huelo humo","amüsajemashi taya"
"oli gas","taataa eejuu kaasü"
"vendi un libro","taikküipa'a wanee karaloukta"
"yo lo apoyo","oonoshi taya nümaa"
"confiaba en ti","ataralashi taya püma"
"yo uso firefox","ta'yataka amaa shia firefox"
"quiero un libro","keireka taa'in wanee karaloukta"
"quiero cafe","aseeshi taya kepein"
"quiero llorar","a'yalajekai taa'in"
"quiero morir","oukteshi taya"
"quiero comer","ekeesü taa'in"
"quiero ganar","akanajaweeshi taya"
"estaba en casa","yaajachi taya miichipa"
"fui precavido","taa'inmajüin takua'ipa"
"estaba furioso","jashichishatashi taya"
"fui demasiado timido","japüishatashi taya"
"estaba atrapado","ata'ünüshi niakai"
"estaba desarmado","ma'apülashi niakai"
"te observe","tananajüin pia"
"os vigile","te'rajaain pia"
"hice senderismo","awaraijaashi taya"
"no cedere","nnojolechi taya ajutuin"
"escribo versos","ashajüshi taya pütchirua"
"eso me gustaria","tachekaka ne'e tia"
"lo permitire","too'ulajerü"
"voy a permitirlo","too'ulajerü tia"
"estare solo","tamüiwainjashi taya"
"lo comprare","tayalajüinjatü"
"yo le alcanzare","tasa'watechi nia"
"comere aqui","ekaainjachi taya ya'aya"
"encontrare a tom","tanteechi anain tom"
"yo ire primero","palajanainjachi taya"
"yo ire ahi","yaalainjachi taya o'unuin"
"te matare","touktuinjatü paa'in"
"le mostrare","tee'iyajüinjatü paala"
"lo llevare","te'ikajainjachi niakai"
"cogere uno","taapainjatü waneeshi"
"soy un turista","waraitüi taya saainküin mma"
"soy testigo","to'upalajatü"
"soy adicta","kamalainsü tamüin tü yüikat"
"soy huerfano","mo'uutshi taya"
"yo soy atento","eesü taa'in waneepia"
"estoy despierto ahora","achijiraichipa taya"
"soy guapa","anachonsü taya"
"yo soy tranquilo","jimataa aa'in taya"
"soy olvidadizo","motoowaisü taa'in"
"estoy impaciente","shapaasü taa'in"
"soy impaciente","kashaparai taya"
"yo soy importante","kojutüshi ma'in taya"
"estoy en boston","anii taya boston"
"estoy a cargo","tama'anasü tü ma'aka"
"estoy en peligro","eesü süpüla sülatüin kasa mojusü tamüin"
"estoy intrigada","nnojotsü tatüjaain aa'u taa'in"
"te escuchare","taapüin pünüiki"
"estoy motivado","ke'epüishi taya"
"me mudo","okolojowa müin yaa"
"seguire adelante","ayateechi taya waneepia"
"no soy espia","nnojoishi taya anajülin"
"no estoy ciego","nnojoishi mo'uuin taya"
"no soy mandon","nnojoishi kaluwatarai taya"
"no soy mandona","nnojotsü kaluwatarai taya"
"no estoy ebrio","nnojoishi taya eperüin"
